name,grade,birth_date_hijri,death_date_hijri,reliability_grade
al-Mundhir bin 'Amr b. Khunays ( المنذر بن عمرو بن خنيس ( رضي الله عنه,Comp.(RA),,4.0,Thiqa
Abu Usayd Malik bin Rabi'a ( مالك بن ربيعة أبو أسيد الساعدي الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],,60.0,Thiqa
Zayd ibn al-Khattab ( زيد بن الخطاب بن نفيل العدوي ( رضي الله عنه,Comp.(RA) [1st Generation],,12.0,Thiqa
Abu Lubaba bin 'Abdul Mundhir ( أبو لبابة بن عبد المنذر ( رضي الله عنه,Comp.(RA) [1st Generation],,40.0,Thiqa
Abu Sufyan ibn Harb ( صخر بن حرب أبو سفيان ( رضي الله عنه,Comp.(RA) [1st Generation],63.0,31.0,Thiqa
Abu Sufyan ibn al-Harith ( أبو سفيان بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA),,14.0,Thiqa
Ja'far ibn Abi Sufyan ( ‎جعفر بن أبي سفيان بن الحارث ( رضي الله عنه,Comp.(RA),,48.0,Thiqa
Abu al-'Aas ibn al-Rabiah ( أبو العاص بن الربيع ( رضي الله عنه,Comp.(RA),,13.0,Thiqa
Abu Hudhayfah ibn 'Utbah ( أبو حذيفة بن عتبة بن ربيعة بن عبد شمس ( رضي الله عنه,Comp.(RA),,12.0,Thiqa
'Uthman bin Maz'un ( عثمان بن مظعون ( رضي الله عنه,Comp.(RA),,3.0,Thiqa
'Abdullah bin Maz'un ( عبد الله بن مظعون الجمحي ( رضي الله عنه,Comp.(RA),30.0,30.0,Thiqa
'Imran bin Husain ( عمران بن حصين ( رضي الله عنه,Comp.(RA) [1st Generation],,53.0,Thiqa
Zaynab bint Maz'un ( زينب بنت مظعون بن حبيب الجمحية ( رضي الله عنها,Comp.(RA),,,Thiqa
Umm Waraqa bint 'Abdullah ( أم ورقة بنت عبد الله بن الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Zinira ( زنيرة ( رضي الله عنها,Comp.(RA),,,Thiqa
'Abdur Rahman ibn Shaddad ( عبد الرحمن بن شداد الليثي ( رضي الله عنه,Comp.(RA),,,Thiqa
Qutham ibn al-'Abbas ( قثم بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],,57.0,Thiqa
Thawban bin Bujdud ( ثوبان مولى رسول الله صلى الله عليه وسلم ( رضي الله عنه,Comp.(RA) [1st Generation],,54.0,Thiqa
'Abdullah ('Abd Rabb) bin Haq ( عبد الله (عبد رب) بن حق بن أوس ( رضي الله عنه,Comp.(RA),,,Thiqa
Bashir ibn Sa'd ( بشير بن سعد بن ثعلبة  ( رضي الله عنه,Comp.(RA) [1st Generation],,12.0,Thiqa
'Ubaydallah bin al-'Abbas ( عبيد الله بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],2.0,66.0,Thiqa
Amina bint 'Amr bin Harb ( آمنة بنت عمرو بن حرب ( رضي الله عنها,Comp.(RA),,,Thiqa
Fadl ibn al-'Abbas ( الفضل بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],,18.0,Thiqa
Umm Habib bint Jahsh ( أم حبيبة بنت جحش ( رضي الله عنها,Comp.(RA) [4th generation],,44.0,Thiqa
Jariyya bint 'Amr bin Mu'mil ( جارية بنت عمرو بن المؤمل ( رضي الله عنها,Comp.(RA),,,Thiqa
Damra bin Ka'b bin 'Amr ( ضمرة بن كعب بن عمرو ( رضي الله عنه,Comp.(RA),,3.0,Thiqa
Habibah bint Ubayd-Allah ( حبيبة بنت أم حبيبة بنت أبي سفيان  ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
'Abdullah bin Abi Umayyah ( عبد الله بن أبي أمية المخزومي ( رضي الله عنه,Comp.(RA),,8.0,Thiqa
Lubaba(Sughra) bint al-Harith ( لبابة (الصغرى) بنت الحارث ( رضي الله عنها,Comp.(RA),,,Thiqa
Ziyad bin Ka'b bin 'Amr ( زياد بن كعب بن عمرو ( رضي الله عنه,Comp.(RA),,,Thiqa
Muhammad bin Abu Hudhayfah ibn 'Utbah ( محمد بن أبي حذيفة بن عتبة ( رضي الله عنه,Comp.(RA),,,Thiqa
Hisham ibn al-'Aas ( هشام بن العاصي بن وائل  ( رضي الله عنه,Comp.(RA),,12.0,Thiqa
Hudhayfah ibn al-Yaman ( حذيفة بن اليمان ( رضي الله عنه,Comp.(RA) [1st Generation],,37.0,Thiqa
Buzay'a bint Abi Kharija bin Aws ( بزيعة بنت أبي خارجة بن أوس ( رضي الله عنها,Comp.(RA),,,Thiqa
Ikrimah ibn Abi Jahl ( عكرمة بن أبي جهل ( رضي الله عنه,Comp.(RA) [1st Generation],,13.0,Thiqa
Nu'man bin Malik ( النعمان بن مالك بن ثعلبة بن دعد ( رضي الله عنه,Comp.(RA),,3.0,Thiqa
Khabbab ibn al-Aratt ( خباب بن الأرت ( رضي الله عنه,Comp.(RA) [1st Generation],,37.0,Thiqa
Khalid bin Sa`id ibn al-'As ( خالد بن سعيد بن العاص بن أمية ( رضي الله عنه,Comp.(RA),,14.0,Thiqa
Shaddad ibn al-Haad ( شداد بن الهاد الليثي ( رضي الله عنه,Comp.(RA) [1st Generation],,,Thiqa
Khunays ibn Hudhaifa ( خنيس بن حذافة بن قيس ( رضي الله عنه,Comp.(RA),,3.0,Thiqa
Mandwas bint 'Ubada b. Dulaim ( مندوس بنت عبادة بن دليم الأنصارية ( رضي الله عنها,Comp.(RA),,,Thiqa
Layla bint 'Ubada b. Dulaim ( ليلى بنت عبادة الأنصارية الساعدية ( رضي الله عنها,Comp.(RA),,,Thiqa
Fukayha bint 'Ubayd b. Dulaim ( فكيهة بنت عبيد بن دليم الأنصارية ( رضي الله عنها,Comp.(RA),,,Thiqa
Umm Fadl Lubaba bint al-Harith ( أم الفضل لبابة بنت الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],,34.0,Thiqa
Sa'id bin Sa'd ibn 'Ubadah ( سعيد بن سعد بن عبادة الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],,,Thiqa
Ishaq bin Sa'd ibn 'Ubadah ( إسحاق بن سعد بن عبادة الأنصاري ( رضي الله عنه,Comp.(RA) [2nd Generation],,,Thiqa
al-Furay'a bint Malik bin al-Dukhsham ( الفريعة بنت مالك بن الدخشم ( رضي الله عنها,Comp.(RA),,,Thiqa
Qurratu'l-'Ayn bint 'Ubada bin Nadla ( قرة العين بنت عبادة بن نضلة ( رضي الله عنها,Comp.(RA),,,Thiqa
al-Fa'rah bint Abi Sufyan ( الفارعة بنت أبي سفيان بن حرب ( رضي الله عنها,Comp.(RA),,,Thiqa
al-Miqdad ibn al-Aswad ( المقداد بن الأسود الكندي ( رضي الله عنه,Comp.(RA) [1st Generation],,33.0,Thiqa
Talib ibn Abi Talib ( طالب بن ابي طالب ( رضي الله عنه,Comp.(RA),,,Thiqa
'Aqeel ibn Abi Talib ( عقيل بن أبي طالب ( رضي الله عنه,Comp.(RA) [1st Generation],33.0,60.0,Thiqa
al-Mughira ibn Shu'ba ( المغيرة بن شعبة ( رضي الله عنه,Comp.(RA) [1st Generation],,50.0,Thiqa
Muhammad Ibn Maslama ( محمد بن مسلمة بن سلمة ( رضي الله عنه,Comp.(RA) [1st Generation],,46.0,Thiqa
Muhammad ibn Abi Bakr ( محمد بن أبي بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],10.0,37.0,Thiqa
'Abdullah ibn Shaddad ( عبد الله بن شداد بن الهاد الليثي ( رضي الله عنه,Comp.(RA) [1st Generation],,81.0,Thiqa
Aus bin As-Samit ( أوس بن الصامت بن قيس بن أصرم ( رضي الله عنه,Comp.(RA) [1st Generation],,34.0,Thiqa
Salma ( سلمى أم رافع امرأة أبي رافع ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Qays ibn Sa'd ibn 'Ubadah ( قيس بن سعد بن عبادة الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],,58.0,Thiqa
Naufal bin 'Abdullah bin Nadla ( نوفل بن عبد الله بن نضلة الأنصاري ( رضي الله عنه,Comp.(RA),,3.0,Thiqa
Rabi'ah ibn al-Harith ( ربيعة بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],59.0,14.0,Thiqa
'Amir ibn Abi Waqqas ( عامر بن أبي وقاص ( رضي الله عنه,Comp.(RA),,,Thiqa
'Amra bint Mas'ud #4 ( عمرة بنت مسعود بن قيس الرابعة  ( رضي الله عنها,Comp.(RA),,5.0,Thiqa
Nawfal ibn al-Harith ( نوفل بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA),,14.0,Thiqa
Ghaziyya bint Sa'd ibn Khalifa ( عدية/غزية بنت سعد بن خليفة ( رضي الله عنها,Comp.(RA),,,Thiqa
'Abdullah ibn al-Harith ( عبد الله بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA),,2.0,Thiqa
Salim Mawla Abu Hudhayfah ( سالم مولى أبي حذيفة ( رضي الله عنه,Comp.(RA),,12.0,Thiqa
'Umama bint Hamza ( عماره/أمامة بنت حمزه بن عبدالمطلب ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Suhayb bin Sinan ar-Rumi ( صهيب بن سنان بن مالك الرومي ( رضي الله عنه,Comp.(RA) [1st Generation],,38.0,Thiqa
'Ubaydah ibn al-Harith ( عبيدة بن الحارث بن المطلب ( رضي الله عنه,Comp.(RA),,2.0,Thiqa
Muhammad ibn Ja'far ( محمد بن جعفر بن أبي طالب ( رضي الله عنه,Comp.(RA),,36.0,Thiqa
Awn ibn Ja'far ( عون بن جعفر بن أبي طالب الهاشمي ( رضي الله عنه,Comp.(RA),,20.0,Thiqa
Umm Kulthum bint 'Amr (Jarwal) ( أم كلثوم بنت عمرو بن جرول الخزاعية ( رضي الله عنه,Comp.(RA),,,Thiqa
Umm Shareek ( أم شريك العامرية/ الأنصارية/ الدوسية ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Umm 'Ubays ( أم عبيس ( رضي الله عنها,Comp.(RA),,,Thiqa
'Uqba bin 'Amir al-Juhayni ( عقبة بن عامر الجهني ( رضي الله عنه,Comp.(RA) [1st Generation],,58.0,Thiqa
'Urwah ibn Mas'ud al-Thaqafi ( عروة بن مسعود بن معتب الثقفي  ( رضي الله عنه,Comp.(RA),,9.0,Thiqa
Ayman bin 'Ubiad (  أيمن بن عبيد بن زيد بن عمرو ( رضي الله عنه,Comp.(RA),,8.0,Thiqa
'Abdullah b. Zama'a ( عبد الله بن زمعة بن الأسود بن المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],,63.0,Thiqa
Mulayl bin Wabara bin Khalid ( مليل بن وبرة بن خالد بن العجلان ( رضي الله عنه,Comp.(RA),,,Thiqa
Habiba bint Mulayl bin Wabara ( حبيبة بنت مليل بن وبرة بن خالد ( رضي الله عنها,Comp.(RA),,,Thiqa
Bushra bint Mulayl bin Wabara ( بشرة بنت مليل بن وبرة بن خالد ( رضي الله عنها,Comp.(RA),,,Thiqa
'Atikah bint Zayd ( عاتكة بنت زيد بن عمرو بن نفيل  ( رضي الله عنها,Comp.(RA),,,Thiqa
Tulayb bin 'Umayr ( طليب بن عمير بن وهب ( رضي الله عنه,Comp.(RA),,13.0,Thiqa
Umm Hani bint Abi Talib ( ام هانى بنت أبي طالب ( رضي الله عنها,Comp.(RA) [1st Generation],,41.0,Thiqa
Jumanah bint Abi Talib ( جمانة بنت أبي طالب بن عبد المطلب ( رضي الله عنها,Comp.(RA),,,Thiqa
'Umayr bin Sa'd al-Ansari ( عمير بن سعيد بن عبيد الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],,50.0,Thiqa
Basbas bin 'Amr bin Tha'laba ( بسبس بن عمرو بن ثعلبة ( رضي الله عنه,Comp.(RA),,,Thiqa
"Umm Ayman, Barakah ( أم أيمن مولاة النبي صلى الله عليه وسلم ( رضي الله عنها",Comp.(RA) [1st Generation],60.0,11.0,Thiqa
Habiba bint Kharijah ibn Zayd ( حبيبة بنت خارجة بن زيد ( رضي الله عنها,Comp.(RA),,30.0,Thiqa
'Abdullah ibn Hudhafah as-Sahmi ( عبد الله بن حذافة ( رضي الله عنه,Comp.(RA) [1st Generation],,30.0,Thiqa
Tufail ibn 'Abdullah ( الطفيل بن عبد الله بن الحارث بن سخبرة ( رضي الله عنه,Comp.(RA) [1st Generation],,,Thiqa
'Utbah ibn Ghazwan ( عتبة بن غزوان ( رضي الله عنه,Comp.(RA) [1st Generation],,17.0,Thiqa
